PacketCounter,Acc_X,Acc_Y,Acc_Z
12094,2.703375,0.710340,10.231398
12095,1.585264,0.460055,9.814900
12096,0.645823,0.180887,9.822113
12097,-0.007088,0.676273,9.791824
12098,-2.155263,0.552672,9.500154
12099,-1.692232,1.016079,9.884786
12100,-3.817901,0.204923,9.898047
12101,-2.341173,0.413502,9.549878
12102,-5.271056,-1.506601,10.292319
12103,-7.702664,-3.066996,9.577153
12104,-5.658933,-2.844945,10.012738
12105,-8.150147,-2.513406,10.158903
12106,-9.877779,-2.345366,9.765293
12107,-9.386787,-0.790610,10.181179
12108,-10.126909,-1.154549,9.411678
12109,-9.720847,-1.091851,9.761430
12110,-7.455493,-1.409359,9.231337
12111,-6.304127,-2.121671,9.804348
12112,-7.351924,-2.641751,10.404041
12113,-4.261634,-2.308005,9.845832
12114,-3.677139,-0.160753,10.779177
12115,-3.162026,-0.129708,9.672970
12116,-3.516679,-0.709097,9.822133
12117,-2.300926,0.164461,9.684398
12118,-1.256222,0.560829,9.428468
12119,-0.757810,0.470243,9.683848
12120,-1.251137,-0.102848,9.826047
12121,-1.518202,0.091964,9.722125
12122,-0.874837,-0.131904,9.713355
12123,1.190642,0.915392,9.738176
12124,-0.347214,-0.140186,9.799829
12125,0.802529,0.136932,9.711275
12126,1.015175,-0.417468,9.855984
12127,0.797772,0.106309,9.709626
12128,1.164319,0.251704,9.791267
12129,0.776642,0.235756,9.831043
12130,0.429325,-0.156239,9.840830
12131,0.351985,0.110668,9.787591
12132,0.299237,-0.025554,9.778973
12133,0.274553,-0.016556,9.783890
12134,0.225559,-0.077409,9.784424
12135,0.006834,-0.259996,9.798970
12136,0.527766,-0.028992,9.763711
12137,0.487101,0.015116,9.750952
12138,0.133038,0.089739,9.820700
12139,0.368118,-0.021005,9.866300
12140,0.066771,0.153081,9.664584
12141,0.093573,0.062016,9.822614
12142,0.009198,0.103880,9.741509
12143,0.517366,0.458870,9.596269
12144,0.478852,-0.042612,9.740485
12145,0.059371,-0.435937,9.913891
12146,0.675119,-0.034728,9.729037
12147,-0.028773,-0.375118,9.857738
12148,-0.154961,-0.138079,9.904853
12149,0.363296,-0.073892,9.773173
12150,-0.007447,0.064758,9.801171
12151,-0.144824,0.119526,9.829468
12152,-0.290521,-0.056922,9.832988
12153,-0.142570,0.123226,9.877123
12154,0.153965,0.074613,9.746529
12155,0.138203,0.078574,9.799094
12156,0.186278,0.060456,9.813653
12157,0.687006,0.067755,9.680151
12158,0.276768,0.140396,9.756326
12159,0.045562,0.174037,9.872514
12160,-0.193372,0.060294,9.824322
12161,0.182292,0.106152,9.766856
12162,0.389714,0.081167,9.779566
12163,0.337080,-0.083343,9.819666
12164,-0.620913,0.150734,9.780508
12165,0.171252,0.396345,9.826327
12166,0.298592,0.171243,9.680760
12167,-0.055740,-0.015911,9.843118
12168,0.096923,-0.072780,9.786488
12169,0.120740,0.046946,9.820702
12170,0.139041,0.120358,9.776186
12171,0.165375,0.108561,9.795467
12172,0.133960,0.093741,9.799020
12173,0.173747,0.130342,9.796608
12174,0.133295,0.092968,9.799036
12175,0.173199,0.129388,9.796630
12176,0.151404,0.086072,9.770449
12177,0.141544,0.114083,9.800188
12178,0.141227,0.113548,9.800198
12179,0.128101,0.092860,9.775142
12180,0.140615,0.112169,9.800223
12181,0.149977,0.083052,9.770497
12182,0.127401,0.091036,9.775168
12183,0.149583,0.082021,9.770512
12184,0.162114,0.101401,9.795598
12185,0.170763,0.123490,9.796749
12186,0.157802,0.102924,9.771679
12187,0.161650,0.099668,9.795623
12188,0.161555,0.099091,9.795631
12189,0.116650,0.115549,9.804967
12190,0.138745,0.106593,9.800312
12191,0.160901,0.097551,9.795657
12192,0.138392,0.105452,9.800329
12193,0.156625,0.099176,9.771737
12194,0.115478,0.112758,9.805014
12195,0.172825,0.115152,9.820787
12196,0.133532,0.105851,9.776431
12197,0.151808,0.099800,9.747836
12198,0.149801,0.122190,9.825479
12199,0.150468,0.070279,9.794566
12200,0.138277,0.056744,9.122648
12201,0.094741,0.146357,10.285480
12202,0.180729,0.151757,10.047879
12203,0.214804,0.133775,10.115043
12204,0.159358,0.119797,9.749050
12205,0.099167,0.080548,9.405804
12206,0.118701,0.066012,9.525492
12207,0.145228,0.112497,9.949903
12208,0.150263,0.137817,9.927139
12209,0.159580,0.108835,9.897378
12210,0.150034,0.121839,9.701244
12211,0.175994,0.110072,9.720529
12212,0.127098,0.129395,9.705927
12213,0.180822,0.098328,9.892755
12214,0.123881,0.123126,9.830286
12215,0.118694,0.096987,9.853051
12216,0.115415,0.127423,9.782438
12217,0.124727,0.098388,9.752667
12218,0.128473,0.094975,9.776610
12219,0.137137,0.117065,9.777808
12220,0.163257,0.105395,9.797088
12221,0.175887,0.124919,9.822221
12222,0.181370,0.098741,9.768507
12223,0.163619,0.132106,9.750440
12224,0.180991,0.097456,9.768527
12225,0.127174,0.091281,9.776663
12226,0.112465,0.093769,9.829201
12227,0.139661,0.110382,9.801808
